CAS_Number,SMILES,pLD50,"LD50,mg/kg"
10395-30-9,CCCNC(=O)c1c(I)c(NC(=O)CCCCCCCCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCC)c2I)c(I)c(C(=O)O)c1I,2.59141,3499
80305-23-3,COc1cc(CN2CCN(c3ccccc3F)CC2)cc(OC)c1OC,2.59303,919.38
13929-35-6,COC1/C=C\OC2(C)Oc3c(C)c(O)c4c(O)c(cc(OCC(=O)O)c4c3C2=O)NC(=O)/C(C)=C\C=C/C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,2.59596,1915
56619-72-8,CC(=O)N1CCSC1C(=O)Oc1c(C)ncc(CO)c1CO,2.59726,824.29
7271-80-9,COc1ccccc1OCC(CO)(CO)CO,2.59897,609.61
53493-93-9,CCOC(=O)Cn1c(CN)nc2c1c(=O)n(C)c(=O)n2C,2.60103,739.57
2610-05-1,COc1cc(-c2ccc(N/N=C3\C=Cc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4C3=O)c(OC)c2)ccc1N/N=C1/C=Cc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2C1=O,2.60249,2257.88
1081-50-1,C/C(=N/NC(=O)c1ccncc1)C(=O)O,2.60456,514.69
74258-86-9,CC(=O)SCC(C)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,2.60907,999.14
65876-27-9,CN1CCN(CCC#N)CC1,2.61131,374.75
366-70-1,CNNCc1ccc(C(=O)NC(C)C)cc1,2.6126,539.63
80305-15-3,CCc1ccccc1N1CCN(Cc2cc(OC)c(OC)c(OC)c2)CC1,2.61454,899.35
93242-59-2,CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3ccnc3)c(F)c21,2.61597,772.54
89893-77-6,CCOP(=O)(OC)N(CC)CC,2.61838,469.77
63918-33-2,CCOC(=O)CCCN(CC)CC,2.61929,449.7
3385-41-9,O=C(O)CCCCC(=O)O,2.62088,349.66
104058-19-7,CCS(=O)(=O)c1ccc(C2(O)CN(CCO)CCO2)cc1,2.62379,749.34
622-97-9,C=Cc1ccc(C)cc1,2.62538,279.761
76990-85-7,CCCCCNCC(N)=O,2.62882,338.78
503-09-3,FCC1CO1,2.63079,177.912
80305-16-4,CCOc1ccccc1N1CCN(Cc2cc(OC)c(OC)c(OC)c2)CC1,2.6329,899.37
3690-04-8,Cc1c(NC(=O)C(C)N(C)C)c(=O)n(-c2ccccc2)n1C,2.63483,700.53
7081-44-9,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.63773,1001.9
126861-32-3,CC(C)c1ccc2nc3ccc(C(=O)Nc4nn[nH]n4)cc3c(=O)n2c1,2.64018,799.48
80305-14-2,COc1cccc(N2CCN(Cc3cc(OC)c(OC)c(OC)c3)CC2)c1,2.64167,849.41
6972-77-6,CNC(=O)NC(=O)CC#N,2.64447,319.83
6460-95-3,O=C(CCC(NC(=O)c1ccccc1)C(=O)O)OCc1ccccc1,2.64673,769.47
2637-34-5,S=c1cccc[nH]1,2.64804,249.652
23824-39-7,O=C1NCC(O)c2cc(O)c(O)cc2C1O,2.6536,499.7
29839-52-9,CCCC1(C)CC(O)CO1,2.65658,317.78
4468-13-7,COc1ccccc1C(=O)NCC(=O)N(C)C,2.65741,519.66
5966-51-8,CN(C)CC(O)CN(C)C,2.6599,319.8
27979-66-4,CCN(CC)Cc1nc2c(c(=O)nc(C)n2C)n1C,2.66465,569.63
54-47-7,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,2.66867,529.75
102-28-3,CC(=O)Nc1cccc(N)c1,2.67146,319.78
37419-58-2,Cn1c(=O)c2c(ncn2CC(COC(=O)c2cccs2)OC(=O)c2cccs2)n(C)c1=O,2.67625,999.04
464-48-2,CC12CCC(CC1=O)C2(C)C,2.67737,319.75
69517-65-3,CN(CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C)C(=O)c1cccnc1,2.68001,777.52
30727-31-2,OCCN1CCCC1,2.68115,239.841
64049-38-3,Cc1ccc(OCC(CO)(CO)CO)cc1,2.68253,469.69
64037-66-7,CC(CC(N)=O)N(C)C,2.68322,269.833
58944-02-8,Cc1csc(NS(=O)(=O)c2ccc(N)cc2)n1,2.68603,554.34
23217-81-4,CC(=O)Nc1c(I)cc(I)c(C(C)C(=O)O)c1I,2.68791,1199.72
52009-25-3,CCNS(=O)(=O)CCl,2.69247,318.73
5332-73-0,COCCCN,2.69479,179.891
529-96-4,Cc1ncc(COP(=O)(O)O)c(CN)c1O,2.69579,499.76
100700-24-1,CCC(OCCOc1c(I)cc(I)c(NC(C)=O)c1I)C(=O)O,2.69831,1319.64
603-00-9,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,2.70033,474.72
72336-20-0,O=C(CN1CCOCC1)NCc1ccccc1,2.70325,463.68
133-67-5,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,2.70548,746.53
2067-84-7,O=c1[nH]c2cccnc2[nH]c1=O,2.7074,319.81
704-01-8,CN(C)c1ccccc1N(C)C,2.71036,319.76
933-20-0,Nc1nc(Cl)nc(Cl)n1,2.71229,318.03
197635-34-0,O=C(O)c1ccc(OCCn2cnc3ccccc32)cc1,2.71431,544.62
53493-92-8,Cn1c(=O)c2c(nc(CN)n2C)n(C)c1=O,2.7153,429.75
618-76-8,O=C(O)c1cc(I)c(O)c(I)c1,2.71591,749.83
73771-62-7,NC(=S)NNC(=S)S,2.7183,319.39
